"","X1","x","y","z","t","semb","unc_x","unc_y","unc_z","well","stage","ampc","snrc","mw","m0","mti_strike","mti_dip","class_well","class_stage","t_scale","x_scale","y_scale","z_scale","bool","cluster"
"11670",11670,2320.13048615803,1256.32632964682,-2225.54,34.1890543980013,0.262618,2.35901,1.6776,6.39462,7,19,95.21421853,5.218424675,-1.479910312,6027462.71,58.304,86.8465,7,8,2.79613631737292,-0.184304435889333,-0.988131211599063,2.18106681348495,1,"7_8_OUT3"
"11671",11671,1510.27401859727,1446.05015010698,-2436.27,12.5087228469992,0.291878,2.66414,2.01126,68.5632,3,6,116.9023762,7.585935515,-1.480000416,6025587.2,48.5196,80.2864,3,7,1.02302022832464,-1.05929705524376,-0.808665232472805,-0.1729046535484,0,"3_7_HF2"
"11672",11672,1861.08383487958,2290.25079402994,-2448.76,39.085395833,0.185018,3.35116,2.54353,24.2798,5,27,68.45221563,2.142768629,-1.480000416,6025587.2,56.7237,77.9017,5,27,3.19658138231329,-0.680271867029066,-0.0101081784708978,-0.312424909910793,0,"5_27_HF2"
"11673",11673,1170.53042344059,2106.11311714117,-2431.17,12.9331695599992,0.213439,3.83309,2.75973,21.3417,1,10,67.63431857,3.552037234,-1.480135571,6022775.06,55.0393,69.8005,1,10,1.05773341036217,-1.42636597441953,-0.18429004133201,-0.115934813080171,0,"1_10_HF2"
"11674",11674,2055.25535699339,1355.03136523263,-2492.29,32.9623359489993,0.381885,2.41424,1.74934,14.6843,5,15,119.7216468,8.531378489,-1.480180622,6021837.99,55.3718,80.5326,5,15,2.69580970504501,-0.470483274181098,-0.894762883820637,-0.798679254142565,0,"5_15_HF5"
"11675",11675,2528.21786972563,3384.51975111957,-2433.84,11.7887052080008,0.231163,3.51821,2.43943,21.8481,4,19,89.55714532,5.041841063,-1.480495984,6015282.44,43.8625,85.5935,4,20,0.964133912075126,0.0405192607724008,1.02499668783027,-0.145760200148834,0,"4_20_HF1"
"11676",11676,2045.90740534608,1152.95438930516,-2453.2,32.1652401160007,0.224284,3.60023,2.43772,19.9622,5,12,107.7930225,6.87113854,-1.480586088,6013410.73,52.7135,85.7199,5,12,2.63061958363574,-0.480583074608838,-1.08591411752306,-0.362022182789013,0,"5_12_HF3"
"11677",11677,3015.65485826878,4374.93593525631,-2388.24,3.56982557899974,0.133055,6.93139,4.44039,26.4111,2,5,42.80090592,2.939297357,-1.480631139,6012475.11,184.781,65.1366,2,5,0.291956566915507,0.567160442832981,1.96186381288333,0.363617196978874,0,"2_5_HF1"
"11678",11678,859.997409414724,1751.96575685168,-2481.85,11.3071234030001,0.259247,3.2254,2.74562,12.3401,1,8,123.3129951,7.567425774,-1.480721243,6010604.27,57.9745,84.2194,1,8,0.924747962435431,-1.76187492720582,-0.51928963503184,-0.682058639537011,0,"1_8_HF1"
"11679",11679,1290.71736303885,2177.55211524446,-2456.75,13.3520855319997,0.154496,5.21467,3.69493,22.9116,1,11,50.15332984,2.866048351,-1.480721243,6010604.27,52.8611,81.7743,1,11,1.09199426325393,-1.29651248889015,-0.116713551931207,-0.401677659977684,0,"1_11_HF2"
"11680",11680,2627.85628626261,3982.08862083253,-2430.27,8.10258930600076,0.212296,3.57224,3.85276,20.8986,2,13,96.46543951,3.948103205,-1.480766294,6009669.09,224.315,86.0577,2,14,0.662666593802916,0.148171520853263,1.59025666434928,-0.105881311821071,0,"2_14_HF3"
"11681",11681,1519.68560985486,2045.45749745101,-2485.66,15.732220300999,0.162198,3.83222,2.99773,20.0111,3,10,37.64717181,2.928335826,-1.480766294,6009669.09,53.5033,83.4773,3,11,1.28665250651409,-1.04912849671934,-0.241666179714646,-0.724618461533865,0,"3_11_HF1"
"11682",11682,1925.31741488254,2216.82482587155,-2275.24,37.3406261809998,0.293046,3.138,2.26102,30.7673,7,25,88.03053786,8.251258269,-1.480766294,6009669.09,54.8912,79.7684,7,13,3.05388618716063,-0.610872028084043,-0.0795642079609119,1.62589013284358,1,"0"
"11683",11683,1902.38594196867,867.262036502335,-2243.26,27.8392324309989,0.180443,4.2164,3.15923,18.9938,5,2,52.33729259,3.494959542,-1.480856398,6007799.12,60.8568,70.8919,5,2,2.27681900592877,-0.635647862264878,-1.35615987633335,1.98312454425024,1,"0"
"11684",11684,1862.94352571406,1091.96642942782,-2207.87,31.6208638660003,0.284142,2.15093,1.62491,19.6793,5,10,128.364968,8.55377787,-1.480856398,6007799.12,62.384,76.2211,5,11,2.58609801877402,-0.6782626026475,-1.14360462737972,2.37845055487194,0,"5_11_HF4"
"11685",11685,2365.80251315489,1332.27666901405,-2448.82,32.2887556710011,0.32478,3.90316,2.11124,51.9084,7,17,109.9671613,6.904717619,-1.480856398,6007799.12,52.1601,81.6815,7,5,2.64072124731665,-0.134959041817746,-0.916287296657588,-0.313095143328066,0,"7_5_HF1"
"11686",11686,2045.17201429366,1758.26607827207,-2349.45,34.2582105789996,0.151132,4.92396,3.27724,22.2361,5,19,35.52945872,2.67282232,-1.48090145,6006864.36,63.4318,69.6988,5,19,2.80179222429006,-0.481377612615239,-0.513329954535327,0.796923101246057,0,"5_19_HF3"
"11687",11687,1932.83395996656,2410.12660664451,-2442.26,40.2187345140013,0.215399,3.76436,2.98135,51.2706,8,15,73.88141175,5.078030261,-1.48090145,6006864.36,64.0563,82.5779,5,28,3.28927097264067,-0.602750932883839,0.103286281076934,-0.239816289706187,0,"5_28_HF1"
"11688",11688,2346.97933063971,1411.20392793009,-2434.84,33.582005045999,0.313758,2.67727,2.14119,22.6355,7,18,101.8280539,7.112963161,-1.480946501,6005929.76,58.3198,84.3323,7,6,2.74648906127125,-0.155296158866587,-0.841627415959616,-0.156930757103388,0,"7_6_HF2"
"11689",11689,3350.0527261597,2590.96916593297,-2353.8,39.3147440739997,0.185346,3.73187,2.61219,17.0682,8,13,147.6679054,5.767206979,-1.480946501,6005929.76,58.229,82.8258,8,13,3.21533852424882,0.928453681885195,0.274351184217113,0.74833117849374,1,"8_13_OUT2"
"11690",11690,1584.29395645191,2369.05077372537,-2518.96,16.0865282409997,0.175407,4.4869,3.6897,23.7581,3,11,52.64255203,2.831269709,-1.480991553,6004995.28,49.4242,79.5542,3,12,1.31562942079304,-0.979323748982519,0.064431304641289,-1.09659800812054,0,"3_12_HF1"
"11691",11691,2319.28902908846,1318.68607667962,-2438.17,33.6000644680002,0.324548,3.58452,2.02425,26.5285,7,18,100.5633548,7.706726779,-1.481036605,6004060.95,58.6378,80.5877,7,6,2.74796604291399,-0.185213570723552,-0.929143083317842,-0.194128711762055,0,"7_6_HF2"
"11692",11692,1678.80584882529,969.219763281625,-2453.56,5.57945722199976,0.182024,6.52664,5.20781,172.9,3,2,63.62611349,3.37338082,-1.481081656,6003126.79,49.653,71.0698,3,2,0.45631337995046,-0.877210335580997,-1.25971472136255,-0.366043583292654,0,"3_2_HF3"
"11693",11693,2962.162230272,2958.35356516625,-2446.92,39.4851597920005,0.259422,3.88849,3.29386,30.6739,6,12,64.36689169,4.61876583,-1.481351966,5997524.78,189.664,70.6387,6,12,3.22927589650271,0.509365442654702,0.621872126838855,-0.291871085114411,0,"6_12_HF2"
"11694",11694,2007.45493858519,1278.38099015199,-2267.35,32.1833477780002,0.16663,3.91631,3.10674,26.153,5,12,56.72259912,3.696582204,-1.481397018,5996591.61,52.9594,72.7615,5,13,2.63210051056487,-0.522128244598143,-0.967268985483979,1.71402582721501,0,"5_13_HF1"
"11695",11695,1897.10385431318,1477.12042207232,-2396.48,33.3818090050005,0.418867,1.95016,1.52221,5.9046,5,16,151.8810933,8.113552042,-1.481397018,5996591.61,64.9398,82.2604,5,16,2.73011611879926,-0.641354784291762,-0.779274844031044,0.271571807673339,0,"5_16_HF1"
"11696",11696,1476.68644649091,2183.20896949396,-2444.91,15.8029622919995,0.329829,2.05801,1.63392,10.1952,3,10,61.57653977,4.518400968,-1.48144207,5995658.59,45.1652,81.2734,3,11,1.29243810818347,-1.09558605072912,-0.111362548118408,-0.269418265635753,0,"3_11_HF3"
"11697",11697,2126.644857622,1881.14709470665,-2416.77,35.7829250460008,0.278963,2.66562,2.11129,12.8264,5,21,34.77244003,2.776602921,-1.481487122,5994725.71,57.0822,80.2548,5,21,2.92649030588003,-0.393351969250517,-0.397092774211981,0.0449212070654203,0,"5_21_HF2"
"11698",11698,2972.98803509197,4326.38598366005,-2442.96,4.03564513899938,0.174115,3.07998,2.68106,26.228,2,6,229.7768192,4.758515633,-1.481532173,5993793,62.4556,79.8833,2,6,0.330053408492202,0.521061958883776,1.91593882266005,-0.247635679574373,0,"2_6_HF1"
"11699",11699,1153.09317021655,2271.3356876332,-2342.42,13.5009056020004,0.164179,5.36365,4.42461,29.8474,1,11,67.31708216,3.089751051,-1.481937638,5985405.01,51.9114,80.5425,1,11,1.10416544522459,-1.4452056929178,-0.0280005974699194,0.875452116636575,0,"1_11_HF1"
"11700",11700,1374.21960282919,2291.33266740517,-2449.9,13.882527060001,0.125431,4.67833,4.3084,21.1925,1,12,46.42596283,2.904985344,-1.481937638,5985405.01,189.227,71.1974,1,12,1.13537618319301,-1.20629422621927,-0.00908479899168775,-0.325159344838985,0,"1_12_HF1"
"11701",11701,3066.50290690389,3049.17436014185,-2461.16,31.9146154170014,0.321581,2.04379,1.54425,13.4562,8,7,112.7259416,8.643610395,-1.481937638,5985405.01,52.5752,86.1629,8,7,2.6101223562265,0.622098162103536,0.707782493053222,-0.45093981614727,1,"8_7_OUT1"
"11702",11702,2336.7262823125,2025.3261673906,-2461.31,36.0720710880006,0.206914,4.03192,2.7189,24.6535,5,22,45.33430044,3.01911558,-1.481937638,5985405.01,54.8201,74.4966,7,10,2.95013798386634,-0.166373852225281,-0.260709064533445,-0.452615399690454,1,"7_10_OUT1"
"11703",11703,1883.3364852835,2396.69157780197,-2375.62,40.7409424769989,0.250644,0.859586,0.824489,1.87255,5,29,61.70368803,4.773758526,-1.481937638,5985405.01,75.5232,84.0994,5,29,3.33197951419789,-0.656229452546473,0.0905776470215584,0.504589625745355,0,"5_29_HF4"
"11704",11704,2587.02086964909,3931.0001558918,-2384.31,8.36898911999883,0.113367,4.68477,3.3656,22.9255,2,14,51.50737467,3.034251773,-1.48198269,5984473.73,227.537,75.2231,2,14,0.684453981842082,0.104051742131594,1.54193041116501,0.407517485810272,0,"2_14_HF1"
"11705",11705,1384.18273737612,2291.97613457603,-2435.39,13.8777106709999,0.20766,5.5132,3.84871,23.3195,1,12,53.24655691,2.89315008,-1.482027742,5983542.6,54.011,72.4884,1,12,1.13498227700164,-1.19552976419002,-0.00847612230800157,-0.163074563428391,0,"1_12_HF1"
"11706",11706,1765.84362252156,1227.95720558558,-2360.78,6.16477756900092,0.153051,3.56536,2.88381,17.6477,3,3,52.0282641,2.62621518,-1.482117845,5981680.78,58.8587,72.1643,3,4,0.504183539227019,-0.7831721786485,-1.01496649572025,0.670360690950946,0,"3_4_HF3"
"11707",11707,1948.85699962823,1026.55905216806,-2474.49,31.2667411809994,0.176791,4.1846,2.95198,26.5413,5,9,54.05264395,3.428736301,-1.482117845,5981680.78,62.2302,70.0655,5,9,2.55713625549125,-0.585439172090211,-1.20547560896513,-0.599843340351486,0,"5_9_HF5"
"11708",11708,2264.11348695246,1190.72096248831,-2519.55,31.4345304860009,0.306448,2.97316,2.73704,16.9542,7,16,104.1829042,7.509495446,-1.482162897,5980750.08,58.6263,79.5659,5,10,2.57085882774844,-0.244826840570357,-1.05018947831793,-1.10318863672373,0,"5_10_HF1"
"11709",11709,1656.90675181196,1141.73260468769,-2465.76,6.47952187500066,0.179529,3.67105,2.57305,14.6231,3,4,79.04977863,5.02067354,-1.482253,5978889.13,67.0602,79.2936,3,5,0.529924759631865,-0.900870760637432,-1.09652917133672,-0.502324378138227,0,"3_5_HF2"
"11710",11710,3026.13418076593,3091.66440662337,-2483.04,37.1277412730014,0.204602,4.06491,3.19407,30.7249,6,10,57.34139969,5.170967239,-1.482343104,5977028.74,22.139,71.4239,6,10,3.03647549145242,0.578482609424375,0.747975220442071,-0.695351602312932,0,"6_10_HF2"
"11711",11711,3035.32656892136,3033.68165056607,-2464.91,32.5844635070005,0.390753,2.0568,1.72839,20.7379,8,8,128.0964031,8.719973711,-1.482433207,5975168.95,55.2712,83.1872,8,8,2.66490557865101,0.588414334504583,0.693127431360955,-0.492829404726851,0,"8_8_HF3"
"11712",11712,1701.23527592451,1187.91374856702,-2482.37,6.12885685199941,0.175984,5.53473,3.84396,43.8323,3,3,73.25624771,3.515381125,-1.482568362,5972380.34,57.2125,71.4854,3,4,0.501245779668514,-0.85297692638532,-1.05284491396001,-0.68786732915338,0,"3_4_HF1"
"11713",11713,918.800409338179,2321.78068540306,-2424.25,13.954548750001,0.276671,2.59456,2.1234,15.0717,1,12,102.0636524,5.40797805,-1.482568362,5972380.34,48.3761,89.2216,1,12,1.14126644446504,-1.69834244584663,0.01971697903066,-0.0386345589546505,0,"1_12_HF3"
"11714",11714,2065.26091794719,1444.72786042612,-2451.52,33.3872058330007,0.257956,3.22685,2.2051,33.3841,5,16,64.35759225,4.777828811,-1.482568362,5972380.34,63.9547,84.8793,5,16,2.73055749593109,-0.459672973420711,-0.809916029614084,-0.343255647105362,0,"5_16_HF1"
"11715",11715,1507.41730720129,1766.39780625572,-2478.88,13.6563534030015,0.270406,3.13274,3.10824,12.4666,3,7,133.8657618,6.30901185,-1.482658466,5970521.97,223.288,88.7584,3,8,1.11687867317103,-1.06238352980713,-0.505637886554434,-0.648882085381985,0,"3_8_HF3"
"11716",11716,1774.77438116791,1775.51948373304,-2405.39,14.2972306020006,0.294254,0.95014,0.936186,18.8663,3,8,74.92126487,3.480363703,-1.482658466,5970521.97,62.632,78.3475,3,9,1.16929252440648,-0.773523125743695,-0.497009392906295,0.172042145208256,0,"3_9_HF2"
"11717",11717,2413.44736807124,2345.29198587752,-2552.71,39.8484447919991,0.199816,3.84642,2.62695,26.956,8,14,101.2323004,7.443486659,-1.482658466,5970521.97,70.1377,80.7549,7,17,3.25898699556464,-0.0834821467482003,0.0419570886275814,-1.47360430533677,0,"7_17_HF1"
"11718",11718,1519.39569607459,1572.69297461747,-2438.79,13.6726871299992,0.185899,3.68148,2.71801,28.2504,3,7,61.23844585,2.992552558,-1.482703517,5969593.03,186.368,75.431,3,8,1.11821451963009,-1.04944172804877,-0.688869634613954,-0.201054457073878,0,"3_8_HF2"
"11719",11719,3147.44542014629,4000.60774743181,-2465.57,7.99262418999992,0.242649,2.044,2.20521,13.1925,4,8,150.2390517,5.216759595,-1.482883724,5965878.63,242.833,80.5271,4,9,0.653673146633695,0.709550821328961,1.60777451308141,-0.50020197231686,0,"4_9_HF1"
"11720",11720,2381.95990310499,1415.82133521125,-2534.18,32.3162556940014,0.240905,3.04894,2.45908,18.2247,7,17,52.27235093,3.999934617,-1.482883724,5965878.63,40.3174,80.0309,7,5,2.64297032423304,-0.117502125042172,-0.837259659097414,-1.26661388496887,0,"7_5_HF3"
"11721",11721,1111.79106312742,2318.29464897182,-2411.84,13.4981445140005,0.148286,6.90853,6.51175,27.3817,1,11,52.12504417,2.975256214,-1.483154034,5960311.38,55.2816,74.8239,1,11,1.10393963089401,-1.48982969768203,0.0164194229310365,0.0999920528513741,0,"1_11_HF1"
"11722",11722,2435.62930779706,1304.87628124307,-2451.68,33.6005264810004,0.237751,3.34716,2.43217,14.4613,7,18,64.36904405,5.037982537,-1.483154034,5960311.38,62.658,80.9264,7,6,2.7480038284378,-0.0595161301508196,-0.942206221375798,-0.345042936218089,0,"7_6_HF2"
"11723",11723,1999.34442380496,1803.38656197958,-2436.22,34.9983698149991,0.192752,3.50249,3.23373,27.2302,5,20,36.08432789,2.516739474,-1.483244138,5958456.77,69.6257,75.919,5,20,2.8623258119209,-0.530891082034314,-0.470649010373552,-0.17234612570067,0,"5_20_HF3"
"11724",11724,2032.20367592672,2110.64567160855,-2440.51,37.6851965050013,0.268692,2.61556,2.11297,18.9272,5,25,72.31403886,5.266502533,-1.483469396,5953822.82,49.0362,81.1431,5,25,3.08206671492877,-0.495388984766826,-0.180002549527035,-0.220267815035715,0,"5_25_HF2"
"11725",11725,1570.77407479559,2235.49244489489,-2418.91,16.0897502079992,0.190841,5.18746,4.22213,29.638,3,11,38.19248264,2.569457552,-1.483649603,5950118.23,34.3114,84.603,3,12,1.31589292790371,-0.993931024638976,-0.0619058953786854,0.0210162151826742,0,"3_12_HF2"
"11726",11726,2107.90652792055,1221.06291446901,-2476.97,27.569343171001,0.149747,4.58637,3.19992,23.019,7,14,43.18589708,3.824252279,-1.483649603,5950118.23,77.1634,69.7751,7,2,2.25474623513014,-0.413597408837092,-1.02148803161709,-0.627546321598782,1,"7_2_OUT1"
"11727",11727,2878.21451320952,2951.08450745568,-2444.5,39.50859169,0.230082,3.48124,2.56515,36.2921,6,12,62.12651052,4.881934406,-1.483649603,5950118.23,254.684,87.3875,6,12,3.23119226365983,0.418665873306862,0.614996086939444,-0.264838337284387,0,"6_12_HF2"
