"","n_total","n_is","n_hf","mean_strike_is","mean_strike_hf"
"81",491,87,404,191.298372719127,184.901411550189
"82",490,82,408,207.111283943863,177.360709254418
"83",479,84,395,193.573586248298,177.786886638696
"84",475,85,390,204.011981120462,175.579434290843
"85",488,85,403,192.377869893127,171.210217156194
"86",474,83,391,202.907546952675,172.475267951147
"87",488,83,405,191.266675994834,180.872838558721
"88",494,91,403,188.96922935044,178.74504411439
"89",490,85,405,198.144960076631,174.232339208314
"90",496,89,407,182.722782470038,180.900719185126
"91",487,81,406,190.892301024066,178.020186886728
"92",476,79,397,193.265080698073,176.803660997396
"93",466,81,385,201.720060450469,180.276379626968
"94",489,86,403,200.031584621427,179.996734034424
"95",486,86,400,191.856475436481,184.236853629768
"96",488,85,403,191.130804399509,175.416115155164
"97",487,90,397,203.728347896754,175.993987826237
"98",476,86,390,193.212026791124,181.269044364355
"99",508,93,415,183.280974598829,179.840701823569
"100",487,90,397,189.719132535998,172.828897823204
"101",478,81,397,192.779937892145,172.220036370145
"102",482,86,396,190.417369103193,177.114365423453
"103",498,91,407,202.571058661729,180.263942454815
"104",472,87,385,203.707325304565,175.101893262604
"105",489,85,404,195.722952962331,179.109179097297
"106",493,86,407,190.028634899647,180.25039251058
"107",501,91,410,189.435571497734,171.100443764328
"108",494,92,402,191.807476566055,178.008800822096
"109",505,90,415,198.529933921684,171.055894707963
"110",494,98,396,187.664434902096,177.533685012505
"111",470,77,393,198.317082988617,177.723443253298
"112",484,89,395,206.091967076774,175.786265097969
"113",481,87,394,191.753064543584,178.066960698191
"114",495,85,410,185.510427997171,173.799426340345
"115",489,82,407,195.054457047909,175.642597092176
"116",489,87,402,194.531910460817,177.644370053987
"117",467,77,390,192.518001143962,173.513783063585
"118",485,84,401,181.979830918413,175.519315122447
"119",492,98,394,197.805538126548,177.971789688674
"120",491,89,402,188.544821282491,173.587644233904
"121",494,86,408,200.368733053593,180.433742752238
"122",467,83,384,194.023883973763,177.305805855562
"123",475,83,392,197.43110453203,176.089530247767
"124",493,100,393,186.462997619586,175.401997779606
"125",488,88,400,197.177633863066,175.215574831065
"126",487,85,402,195.162763248997,181.125883755354
"127",492,80,412,196.308090519084,168.565423780466
"128",462,83,379,194.823232619805,177.373686553688
"129",487,88,399,192.013428274801,175.307129573144
"130",484,80,404,196.892443441063,175.301455230165
"131",477,81,396,203.750439964262,178.393651582869
"132",479,82,397,194.417720672773,184.123068795974
"133",495,85,410,190.70414245022,174.948290064227
"134",480,85,395,190.35414508951,173.398994530742
"135",499,82,417,188.828500792027,174.574130431954
"136",476,83,393,199.26315705907,178.769395554768
"137",481,87,394,192.140666601391,179.962443812885
"138",490,85,405,190.371223641005,172.230809555112
"139",485,89,396,186.003123140551,180.650709208021
"140",471,80,391,196.311167245475,172.596244715227
"141",484,88,396,193.323349750103,179.704144527978
"142",497,81,416,196.939460464704,174.752818168207
"143",481,81,400,189.471306462114,175.794195099002
"144",475,89,386,203.37036864113,181.644128148776
"145",485,94,391,199.843169475872,179.545737355741
"146",487,79,408,194.797866951869,179.080244430487
"147",491,83,408,190.867085707298,172.136372302071
"148",497,93,404,196.946869761734,180.045110141136
"149",485,84,401,182.037510159104,178.361829865303
"150",478,88,390,206.786382784092,182.405580954812
"151",498,88,410,188.576729694539,175.963917182416
"152",481,81,400,205.062393877154,176.566729077322
"153",488,85,403,207.657086889651,177.231646491234
"154",486,90,396,173.382705488324,178.786922747867
"155",473,92,381,186.346030526551,172.306709165035
"156",494,90,404,194.814983319212,178.487038965442
"157",500,95,405,176.56830659836,177.333745699954
"158",483,89,394,180.076556151059,175.54468295364
"159",479,93,386,194.224335710898,178.238224112967
"160",502,89,413,198.687232548548,180.369146735315
"161",504,84,420,202.963209430717,171.530428959043
"162",487,91,396,202.457982811169,177.799981496578
"163",487,88,399,191.744461494512,168.65123688231
"164",489,88,401,197.196696561682,175.119708934616
"165",499,82,417,206.504896618747,178.076969827909
"166",501,91,410,193.453417843787,176.656532600565
"167",494,89,405,205.055726660814,179.948462219101
"168",477,80,397,200.558991167202,175.716082647075
"169",468,86,382,201.115809964772,183.682889097349
"170",485,85,400,202.981941525427,181.637942384958
"171",503,90,413,198.101570206704,177.764193077209
"172",483,86,397,191.831804185972,179.994302247177
"173",483,87,396,182.871038546927,181.860129710899
"174",491,89,402,190.585128628581,178.891291135536
"175",480,81,399,192.30984477311,179.017047721772
