"name","x0","y0","z0","pole_easting","pole_northing","pole_up","plane_strike","plane_dip","plane_l1","plane_l2","plane_l3","well_num","stage_num","cluster_num"
"W3_S5_HF_C1",1724.9386836167,1115.00371097144,-2461.14884270263,0.310974870198042,0.861247888390528,0.364144578225393,5.05889568221594,1.19808217138191,310.946036298117,169.69646919259,44.535551273524,3,5,1
"W3_S5_HF_C2",1642.21384544425,1130.84824219969,-2459.19780371685,0.736491384240055,-0.649175498132371,0.0581794747250754,0.722467748517071,1.5125839804975,252.435468440511,108.794765571051,33.4299597718059,3,5,2
"W3_S5_HF_C3",1618.70579420305,1289.73295853124,-2442.0184172621,-0.180214908981008,0.890402853314004,-0.335917862479098,1.37109697922061,1.2282167770478,1055.95032858123,318.030994103611,238.186004793921,3,5,3
"W3_S5_OUT_C1",2031.38971745414,1646.49763774092,-2262.84111111111,-0.128500787628313,0.285078420316782,-0.92098366613468,1.14731394897008,0.400198526133974,2993.01840080815,547.793602165175,233.147566546292,3,5,1
"W3_S8_HF_C1",1526.9922655803,1723.74355509625,-2440.03145774297,-0.548218529280469,0.663895129183255,0.456215673832474,4.02213645509771,1.09705846393985,335.359101136058,155.68040861111,66.3612976409704,3,8,1
"W3_S8_HF_C2",1561.20945330092,1576.63192646861,-2429.57760859725,-0.0294311226406019,-0.949838480475101,-0.300582775779658,4.74336446703616,1.2654926990315,673.119973718116,82.0333272704609,12.6829116733034,3,8,2
"W3_S8_HF_C3",1600.038631924,1697.45704518335,-2442.55117332939,0.25570865144107,-0.842178779643391,0.446685876000513,1.27601486699227,1.10773863916341,901.442872580086,374.704215577756,169.780646481168,3,8,3
"W3_S8_HF_C4",1562.90766253901,1596.28732409026,-2454.78972998109,-0.163559714785666,0.85571517643922,-0.195130298414208,1.38193622942361,1.37440602619827,240.903645295007,203.464918992388,58.5471952983501,3,8,4
"W3_S8_HF_C5",1730.05284368995,1574.97734949398,-2461.04935853215,0.0554096841094453,-0.939500955790557,-0.15973821578824,4.65347943673328,1.41037086893612,306.653523721493,47.8443984659885,2.46086234847649,3,8,5
"W3_S8_HF_C6",1659.03662119116,1587.07157186139,-2422.42941802528,-8.52509062614611e-05,0.983468505051468,-0.0861429699240299,1.57070964287405,1.48454646061319,175.757266910594,133.720820763152,6.41444790009788,3,8,6
"W3_S8_OUT_C1",1852.4527127317,1736.90880182981,-2175.16,0.111747061828924,-0.830684300937853,-0.530962097952304,4.57866765928849,1.01106080604115,2036.79710977188,248.116405246782,5.26096042514349,3,8,1
