"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mti_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord","class_well","class_stage","bool"
"203",10653,0.12189,1.64865,1.53996,3.33533,3,2,-1.430713863,7143798.65,66.5419,71.6821,96.852,0.68013,0.153923,-0.165947,5.800362083,1690.784238,948.0489863,-2408.28,3,2,0
"204",10705,0.222125,0.800777,0.767976,1.5639,3,2,-1.433462016,7076312.05,53.3838,72.4309,-91.4619,0.464683,-0.461386,0.0739308,5.864076134,1456.505619,906.5559603,-2437.96,3,2,0
"205",10706,0.123238,2.15904,1.97025,4.19066,3,2,-1.433507068,7075211.03,17.7865,83.1463,40.4147,0.223971,0.733784,-0.0422455,5.891231204,1692.792421,909.2712504,-2383.69,3,2,0
"206",10784,0.124782,5.84999,3.45763,17.4904,3,2,-1.437651824,6974647.51,56.0216,68.1847,81.2344,0.515499,0.263976,-0.220526,5.703972431,1322.713945,920.8465884,-2291.89,3,2,0
"207",10816,0.143969,3.91831,4.10478,50.0011,3,2,-1.439183581,6937845.57,50.8371,76.3312,68.556,0.379134,0.546802,-0.074064,5.724077361,2027.720619,761.0192426,-2289.01,3,2,0
"208",10849,0.142841,4.88266,3.84585,37.2442,3,2,-1.441075753,6892652.29,59.6798,68.7194,100.506,0.412859,0.465565,-0.121577,5.848391898,1478.227939,817.6584958,-2448.51,3,2,0
"209",10962,0.176006,4.98583,3.3693,16.9954,3,2,-1.446887421,6755676.87,80.3358,74.8635,115.14,0.359705,0.531578,-0.108716,5.896103611,1790.486294,787.5357469,-2393.93,3,2,0
"210",11182,0.174898,5.58087,4.07975,25.5277,3,2,-1.458871171,6481764.43,62.6733,71.4648,77.307,0.510974,-0.21653,-0.272496,5.886374907,1591.852928,825.6558735,-2306.01,3,2,0
"211",11205,0.192521,4.69115,3.28591,14.6772,3,2,-1.460267774,6450573.66,48.5074,86.203,-129.705,0.365441,-0.58516,-0.0493988,5.871676088,1477.549117,1030.469353,-2419.82,3,2,0
"212",11268,0.385934,2.60748,2.08286,22.2073,3,2,-1.463286237,6383673.18,63.8985,76.4247,74.069,0.802659,-0.0894918,-0.107849,5.795604352,1671.381228,929.9753369,-2391.11,3,2,0
"213",11346,0.197494,4.31515,2.92863,11.7905,3,2,-1.467836458,6284132.2,64.0234,70.9351,-70.3082,0.44495,-0.382714,0.172335,5.77872456,1898.496855,1106.617682,-2449.93,3,2,0
"214",11400,0.156423,4.70064,3.56073,20.2052,3,2,-1.470314302,6230581.01,53.1393,81.4749,99.2699,0.264663,-0.492033,-0.243305,5.774115463,2127.931792,1050.423906,-2428.38,3,2,0
"215",11597,0.182024,6.52664,5.20781,172.9,3,2,-1.481081656,6003126.79,49.653,71.0698,-110.101,0.30654,-0.614969,0.0784915,5.796254769,1678.805849,969.2197633,-2417.01,3,2,0
"216",11637,0.170294,4.70062,3.88555,26.6799,3,2,-1.484010016,5942716,89.9486,85.2327,-44.5424,0.0629329,-0.884105,0.0529623,5.896108171,1700.308966,879.1272883,-2381.31,3,2,0
