"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mit_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord"
"4757",4757,0.33681,3.33553,2.648,33.1575,3,2,-0.997451728,31902330.36,57.2381,67.6981,-106.637,0.751969,0.0328107,0.215221,5.32744863425968,1206.30553006147,492.141889082871,-2430.45
"4786",4786,0.112802,7.36621,5.3884,62.007,3,2,-1.00096576,31517470.86,242.207,46.799,-98.328,0.425704,-0.0274307,0.546866,5.43019192129649,1192.50374439275,427.158775891811,-2300.46
"4815",4815,0.124911,5.47873,5.70248,24.6817,3,2,-1.003128241,31282945.53,68.8261,59.4283,-69.1571,0.27375,-0.580735,0.145515,5.29004194444528,1294.84678182428,442.891901773212,-2386.01
"4831",4831,0.187773,2.31976,1.7451,9.09948,3,2,-1.004029275,31185742.42,250.184,87.5901,-142.617,0.488158,0.253713,0.258128,5.40637377314821,1787.14758877781,1837.87923076584,-2260.89
"4900",4900,0.210892,1.37106,1.14167,7.25278,3,2,-1.012544045,30281956.59,262.772,78.6283,-141.393,0.375498,0.339169,0.285333,5.43657574074136,1521.31979682675,1737.53370744768,-2191.45
"4908",4908,0.293859,1.9771,2.00056,30.7092,3,2,-1.013354975,30197259.94,59.2897,68.4701,-90.8393,0.451559,-0.39019,0.158251,5.48523375000115,1407.91121138688,1121.18408162641,-2319.45
"4938",4938,0.182637,1.85089,1.6058,6.96686,3,2,-1.016553646,29865482.19,256.763,89.2364,-144.334,0.420724,0.369055,0.210221,5.35898909722213,1753.42187092092,1818.14388050294,-2249.01
"4943",4943,0.249021,1.14659,0.829766,2.3273,3,2,-1.01745468,29772683.45,278.274,81.5108,34.3717,0.272925,-0.476602,-0.250473,5.3960382870364,1521.41715613962,1727.15337989986,-2146.9
"4958",4958,0.247485,1.0862,0.756292,3.08336,3,2,-1.019527057,29560339.29,74.2937,81.3894,126.04,0.166993,0.75882,0.0741868,5.44185291666675,1562.24287399648,1736.84781386995,-2128.9
"4959",4959,0.228101,6.90237,1.4295,7.1968,3,2,-1.019527057,29560339.29,246.819,48.9369,-86.9724,0.0792203,0.238299,0.682481,5.5165907870371,1725.50005640963,1740.6944747596,-2158.63
"5003",5003,0.163233,1.11259,1.09912,2.30809,3,2,-1.025068416,28999958.47,42.8367,54.7331,-99.3947,0.136875,-0.675019,0.188105,5.34610143518558,1277.03310216782,473.205569482717,-2443.82
"5079",5079,0.135989,5.52845,12.9928,17.4508,3,2,-1.033357927,28181435.38,70.6377,70.7418,-101.181,0.0641181,0.518763,0.417119,5.42286254629493,1143.83927829867,504.516257753636,-2413.71
